Yield (tonne/ha),Seasonal irrigation (mm)
8.204186006302558,497.57617608912926
8.306117068867056,524.1762173491663
8.329471484718988,498.06216895095434
8.370274031468169,499.47804831348645
8.383295453469293,496.82312891379553
8.403216666367548,498.3198424669531
8.47770420787973,498.39986977291886
8.48452925006553,499.5871371932228
8.546630639117975,498.773009591496
8.616324814950813,497.64399799560636
8.619917762530129,472.6893417394724
8.628564977557282,499.82612208190494
8.712005660112958,471.01380231545374
8.734672643745938,496.3566010030088
8.714500638376716,499.47512806020575
8.794419614618917,498.8521033196527
8.83840718242198,471.9878242110775
8.858590172621808,472.7862870318592
8.891539458538551,474.4974311360172
8.947814146278557,499.5261113011551
9.006733154561266,472.8452710510728
9.031412159841022,499.3740527140191
9.101339858184833,474.41110668935283
9.143705140523572,499.87384705094087
